화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2014-04-22 10:38:00,2014,4,22,0,9~12,인제군,북면,산중턱,구름조금,18,70,,인간의 부주의,인제소방서,원통119안전센터,,1732,15,6,0.0,136,800,21,0,0,0.05
2014-04-22 14:44:00,2014,4,22,0,12~15,홍천군,화촌면,산정상,맑음,23,13,,인간의 부주의,홍천소방서,홍천119안전센터,화촌119지역대,740,19,19,8.0,115,10323,25,0,0,0.5
2014-04-23 13:30:00,2014,4,23,0,12~15,춘천시,남면,산중턱,맑음,23,18,,인간의 부주의,춘천소방서,강촌119안전센터,,1000,38,10,0.0,156,5800,6,0,0,0.03
2014-04-24 10:50:00,2014,4,24,0,9~12,홍천군,서석면,산정상,맑음,20,34,,인간의 부주의,홍천소방서,서석119안전센터,,2956,42,9,0.0,395,93611,38,0,0,2.5
2014-04-24 11:45:00,2014,4,24,0,9~12,횡성군,우천면,산중턱,맑음,21,44,,미상,횡성소방서,우천119안전센터,,2132,21,13,0.0,201,14941,211,0,3856,0.4
2014-04-24 12:54:00,2014,4,24,0,9~12,영월군,수주면,산중턱,맑음,23,24,,인간의 부주의,영월소방서,주천119안전센터,,3838,46,20,0.0,150,15521,10,0,850,1.0
2014-04-24 15:26:00,2014,4,24,0,15~18,춘천시,동산면,산정상,맑음,26,19,,인간의 부주의,춘천소방서,석사119안전센터,,2100,22,16,0.0,94,4000,7,0,0,0.05
2014-04-24 18:15:00,2014,4,24,0,18~21,춘천시,남산면,산정상,맑음,23,18,,인간의 부주의,춘천소방서,강촌119안전센터,,1900,30,10,0.0,87,1400,4,0,0,0.06
2014-04-24 18:32:00,2014,4,24,0,18~21,영월군,수주면,산중턱,맑음,16,70,,인간의 부주의,영월소방서,주천119안전센터,,4000,35,10,0.0,112,4600,23,0,0,0.15
2014-04-25 20:14:00,2014,4,25,0,18~21,화천군,화천읍,산아래,맑음,18,0,,인간의 부주의,춘천소방서,화천119안전센터,,421,50,5,,58,14426,7,0,0,0.1
2014-04-26 10:39:00,2014,4,26,1,9~12,평창군,용평면,산중턱,구름조금,18,43,,인간의 부주의,평창소방서,봉평119안전센터,용평119지역대,2255,43,22,12.0,269,24518,11,0,0,0.3
2014-05-04 18:42:00,2014,5,4,1,18~21,홍천군,동면,산정상,비,16,28,,인간의 부주의,홍천소방서,홍천119안전센터,동면119지역대,827,9,9,5.0,94,14447,15,0,2,0.1
2014-05-06 18:36:00,2014,5,6,0,18~21,영월군,영월읍,산아래,구름조금,18,23,,인간의 부주의,영월소방서,영월119안전센터,,1203,9,9,8.0,288,4100,7,0,0,0.5
